Date,Platform,Text,Person,Truthfulness Category
"October 11, 2017",sean hannity,"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",Donald Trump,false
"October 8, 2017",tweet,"""Bob Corker gave us the Iran Deal.""",Donald Trump,false
"October 8, 2017",interview,"""Background checks have been unequivocally shown to reduce gun violence.""",Seth Moulton,half-true
"October 8, 2017",document,"""Loopholes in current law prevent ‘Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",Donald Trump,barely-true
"October 8, 2017",fox,"Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for 'Mr. and Ms. America, turn in all of your guns,' they would do it.""",Chris Cox,false
"October 5, 2017",press release,"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",National Rifle Association,mostly-true
"October 4, 2017",senate floor speech,"""The Republicans are proposing to pay for their giant tax cut to the rich by gutting Medicare and Medicaid.""",Charles Schumer,half-true
"October 2, 2017",york,"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can’t study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""  ",Steve Israel,mostly-true
"October 4, 2017",web post,"""Celine Dion’s 16-year-old Rene-Charles Angelil’s was among the 58 victims who were killed"" in Las Vegas.",HoustonChronicle-tv.com,pants-fire
"October 1, 2017",fox,On whether higher federal deficits are acceptable.,Mick Mulvaney,full-flop
"October 2, 2017",tweet,"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",Hillary Clinton,false
"October 2, 2017",fake news post,A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,Bloggers,pants-fire
"September 30, 2017",tweet,"In the Alabama Senate runoff, ""the candidate I endorsed (Luther Strange) went up MANY points after endorsement!""",Donald Trump,barely-true
"September 25, 2017",press conference,"""The First Amendment’s the First Amendment. It goes start to finish. We can’t say to one football coach you’re fired if you kneel in silent prayer at the end of the game, but to a player, if you kneel in protest to a game, you’re celebrated.""",James Lankford,half-true
"September 18, 2017",constituent,"""The average tax bill for Americans in 2016 was a 41 percent increase from 2013.""",Lamar Smith,half-true
"September 27, 2017",interview,"Says ""No, I don't benefit, I don't benefit"" from his tax proposal.",Donald Trump,false
"September 27, 2017",indianapolis,"Ending the estate tax would ""protect millions of small businesses and the American farmer.""",Donald Trump,pants-fire
"September 27, 2017",interview,"""We have one senator who’s a ‘yes’ vote ... but he’s in the hospital. And he’s a ‘yes’ vote. So we can’t do it by Friday. So we have the votes"" to pass a health care bill. ",Donald Trump,false
"September 22, 2017",rally,"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",Donald Trump,mostly-true
"September 24, 2017",interview,"North Korea is ""the fifth or fourth most sanctioned nation.""",Cory Gardner,mostly-true
"September 17, 2017",nbc interview,"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""  ",Tom Cotton,barely-true
"September 21, 2017",internet,"""12 more hurricanes headed towards U.S.""",Bloggers,pants-fire
"September 24, 2017",tweet,"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""",Donald Trump,barely-true
"September 21, 2017",debate,"DACA was ""a mere memo from the Department of Homeland security under Barack Obama, which violated the laws.""",Roy Moore,half-true
"September 21, 2017",debate,"Alabama is ""the most generous state in the union in terms of what we give to charities.""",Luther Strange,half-true
"August 29, 2017",campaign website,"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",Luther Strange,false
"September 21, 2017",tweet,"The Graham-Cassidy health care bill does ""include coverage of pre-existing conditions.""",Donald Trump,barely-true
"September 21, 2017",No Platform,"""Thomas Jefferson said, ‘Government that governs least governs best.’ """,Mike Pence,false
"September 20, 2017",cnn,"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.""",Bill Cassidy,barely-true
"September 17, 2017",interview,"""Private insurance companies in this country spend between 12 and 18 percent on administration costs. The cost of administering the Medicare program, a very popular program that works well for our seniors, is 2 percent. We can save approximately $500 billion a year just in administration costs.""",Bernie Sanders,half-true
"September 19, 2017",general assembly,"""Companies are moving back, creating job growth the likes of which our country has not seen in a very long time.""",Donald Trump,half-true
"September 17, 2017",tweet,"""Long gas lines forming in North Korea.""",Donald Trump,half-true
"September 14, 2017",No Platform,"Says ""92 percent of the people agree on DACA.""",Donald Trump,half-true
"September 14, 2017",ad,"Says Roy Moore is ""on the wrong side of Trump’s border wall.""  ",Senate Leadership Fund,barely-true
"September 7, 2017",breitbart,"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",Kris Kobach,false
"September 7, 2017",msnbc,"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""  ",Dave Brat,false
"September 7, 2017",fake news article,"""Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead""  ",Bloggers,pants-fire
"September 6, 2017",rachel maddow,"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""  ",Eric Schneiderman,true
"September 5, 2017",interview,"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",Al Franken,mostly-true
"September 3, 2017",cnn,"""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""",Rick Santorum,half-true
"September 5, 2017",justice department,"Says President Barack Obama’s policy known as DACA ""contributed to a surge of minors at the southern border.""",Jeff Sessions,barely-true
"August 2, 2017",ad,"In addition to his compensation as a judge, ""Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.""",Senate Leadership Fund,mostly-true
"August 29, 2017",internet,"Says video shows Mike Pence quoting the Bible as justification for ""Congress not to fund Katrina relief effort.""",Bloggers,pants-fire
"August 28, 2017",press conference,"""We stopped traffic coming through -- 78 percent.""",Donald Trump,false
"August 28, 2017",msnbc,"""Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.""",Ted Cruz,barely-true
"August 20, 2017",interview,"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",Adam Schiff,true
"August 25, 2017",tweet,"Says his conviction is ""a political witch hunt by holdovers in the Obama justice department.""",Joe Arpaio,false
"August 28, 2017",No Platform,Photo shows a shark swimming on a freeway in Houston.,Bloggers,pants-fire
"August 22, 2017",ad,"Says Kelli Ward hosted a town hall on ""chemtrail conspiracy theories"" and is open to sponsoring chemtrails legislation.",Senate Leadership Fund,barely-true
"August 21, 2017",town hall broadcast,"""We’ve got dozens of counties around America that have zero insurers left.""",Paul Ryan,pants-fire
"August 22, 2017",phoenix,"""We have become an energy exporter for the first time ever just recently.""",Donald Trump,false
"August 22, 2017",rally,"""There aren't too many people outside protesting"" his speech at the Phoenix Convention Center.",Donald Trump,false
"July 31, 2017",radio show,"Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",Matthew Rosendale,pants-fire
"August 15, 2017",question-and-answer session,"White nationalist protesters in Charlottesville ""had a permit. The other group didn’t have a permit.""",Donald Trump,pants-fire
"August 17, 2017",tweet,"""Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!""",Donald Trump,pants-fire
"August 15, 2017",question-and-answer session,"Wages ""haven’t gone up for a long time.""",Donald Trump,false
"August 14, 2017",vox.com,"""There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law, as I understand it, in Illinois, Indiana -- up there. I don't know.""",Roy Moore,pants-fire
"August 8, 2017",msnbc,"""There's no such thing as a lone wolf. ... That was a phrase invented by the last administration to make Americans stupid.""",Sebastian Gorka,pants-fire
"August 9, 2017",tweet,"""My first order as president was to renovate and modernize our nuclear arsenal. It is now far stronger and more powerful than ever before.""",Donald Trump,false
"August 7, 2017",tweet,"Says his time away from Washington coincides with a ""long planned renovation"" for the White House.",Donald Trump,true
"August 5, 2017",tweet,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",Donald Trump,mostly-true
"July 25, 2017",interview,"Untaxed corporate earnings used to be ""$2.5 trillion … I guess it’s $5 trillion now. Whatever it is, it’s a lot more. So we have anywhere from 4 (trillion) to 5 or even more trillions of dollars sitting offshore.""",Donald Trump,false
"July 28, 2017",speech,"""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""",Donald Trump,false
"August 1, 2017",tweet,"""Corporations have NEVER made as much money as they are making now.""",Donald Trump,half-true
"July 31, 2017",oval,"""Business spirit is the highest it's ever been, according to polls.""",Donald Trump,barely-true
"July 26, 2017",tweet,"""In light of the leak of my financial disclosure info which is a felony I will be contacting @FBI and the @TheJusticeDept""",Anthony Scaramucci,false
"July 25, 2017",speech,"""We've achieved a historic increase in defense spending to get our troops the support they so richly deserve.""",Donald Trump,false
"July 26, 2017",cnn,"""You've got thousands of people serving in the military who are transgender.""",Ted Lieu,mostly-true
"July 24, 2017",twitter,"Amazon has a ""no-tax monopoly.""",Donald Trump,pants-fire
"July 23, 2017",abc,"""When the price for oil goes up on the markets, it goes right up, but it never goes down.""",Charles Schumer,false
"July 24, 2017",scout jamboree,"""We had the best jobs report in 16 years.""",Donald Trump,mostly-true
"July 25, 2017",tweet,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",Donald Trump,barely-true
"July 12, 2017",speech,"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""  ",Jeff Sessions,barely-true
"July 22, 2017",news interview,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",Kellyanne Conway,barely-true
"July 19, 2017",york,"During the Nixon Watergate investigation, ""out of courtesy, the FBI started reporting to the Department of Justice. But there was nothing official.""  ",Donald Trump,false
"July 18, 2017",speech,"Says President Donald Trump ""has signed more laws cutting through federal red tape than any president in American history and has already saved businesses and families up to $18 billion in red tape costs every year.""",Mike Pence,half-true
"July 12, 2017",cbn,"""I've gotten rid of the Johnson Amendment … I signed an executive order so that now ... ministers and and preachers and rabbis and whoever it may be, they can speak. You know, you couldn’t speak politically before, now you can.""  ",Donald Trump,barely-true
"July 13, 2017",video,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",Elizabeth Warren,mostly-true
"July 16, 2017",tweet,"Says his job approval poll numbers are ""not bad"" relative to other presidents at this point in his presidency.",Donald Trump,false
"July 12, 2017",donald trump,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",Pat Robertson,half-true
"July 14, 2017",governors,"In Ohio, due to Medicaid expansion, ""nearly 60,000 disabled citizens are stuck on waiting lists ... leaving them without the care they need for months or even years.""  ",Mike Pence,false
"July 10, 2017",morning joe,"Medicaid ""is contributing to 70 percent of our budget deficit right now. It’s the one that is in our lap because of Obamacare.""",Pat Toomey,barely-true
"June 30, 2017",blog post,"Says ""CNN host Fareed Zakaria calls for jihad rape of white women.""",Bloggers,pants-fire
"July 7, 2017",tweet,"Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""",Donald Trump,false
"June 26, 2017",video,"Says because of Donald Trump, ""the IRS decided to stop enforcing the individual mandate that was the underpinning of the ACA. That has resulted in insurance companies all across the country jacking their rates up, explicitly because they don't believe that healthy people will buy insurance.""",Chris Murphy,barely-true
"July 6, 2017",poland,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",Donald Trump,barely-true
"July 4, 2017",tweet,"""Gas prices are the lowest in the U.S. in over ten years!""",Donald Trump,barely-true
"June 29, 2017",white house press,"""The president in no way, form or fashion has ever promoted or encouraged violence.""",Sarah Huckabee Sanders,false
"July 2, 2017",fox,"7 million people the Congressional Budget Office says won't have health insurance coverage under the Senate health care bill ""don't exist.""  ",Marc Short,half-true
"June 27, 2017",tweet,"CNN’s ratings are ""way down.""",Donald Trump,pants-fire
"June 28, 2017",roundtable discussion,"""We're pretty much at the 50 percent mark"" on deportations of MS-13 gang members.",Donald Trump,false
"June 17, 2017",blog post,"""U.N. official John Ashe set to testify against the Clintons may not have died by accident.""",Bloggers,false
"June 26, 2017",york,"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years.""",Ron Johnson,mostly-true
"June 28, 2017",tweet,"""28.2 million Americans are still waiting under Obamacare and remain uninsured!""",Sean Spicer,half-true
"June 27, 2017",fox,"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want.""  ",Paul Ryan,barely-true
"June 26, 2017",tweet,"""When Obamacare was signed into law, CBO estimated that 23 million people would be covered in Obamacare’s exchanges in 2017. They were off by more than 100 percent. Only 10.3 million people are covered by Obamacare.""",Donald Trump,half-true
"June 25, 2017",interview,"""When you throw 23 million people off of health insurance -- people with cancer, people with heart disease, people with diabetes -- thousands of people will die. … This is study after study making this point.""",Bernie Sanders,mostly-true
"June 25, 2017",george stephanopoulos,"There ""are not cuts to Medicaid"" in the GOP health care proposals.  ",Kellyanne Conway,barely-true
"June 22, 2017",facebook,"The Senate bill ""hands enormous tax cuts to the rich and to the drug and insurance industries, paid for by cutting health care for everybody else.""",Barack Obama,mostly-true
"June 23, 2017",fox,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",Donald Trump,barely-true
"June 19, 2017",interview,"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",Rick Perry,false
"May 21, 2017",blog post,"""Chinese lunar rover finds no evidence of American moon landings.""",AntiNews.in,pants-fire
"June 21, 2017",white house tweet,Obamacare has led to fewer health insurance options for millions of Americans.,Donald Trump,barely-true
"June 16, 2017",blog post,"""Trump welcomes Jamaica as a U.S. territory""",Bloggers,pants-fire
"June 18, 2017",tweet,"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",Donald Trump,barely-true
"June 12, 2017",press conference,"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",Karl Racine,mostly-true
"June 12, 2017",fox,"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",Ivanka Trump,true
"June 14, 2017",website article,"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""  ",Infowars,pants-fire
"June 13, 2017",tweet,"Says Senate deliberations on the Affordable Care Act in 2009 and 2010 included hundreds of hours of debate and more than 100 Republican amendments, compared with zero for the American Health Care Act this year.",Bernie Sanders,half-true
"June 13, 2017",tweet,"""Two million more people just dropped out of Obamacare. It is in a death spiral.""  ",Donald Trump,barely-true
"June 13, 2017",congressional hearing,"""It's a longstanding policy of the Department of Justice not to comment on conversations that the attorney general has had with the president of the United States.""",Jeff Sessions,half-true
"June 12, 2017",cabinet meeting,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",Donald Trump,barely-true
"June 12, 2017",fox,"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",Ivanka Trump,mostly-true
"June 1, 2017",white house,"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",Donald Trump,false
"June 4, 2017",nbc 's,"""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",Scott Pruitt,barely-true
"June 4, 2017",abc,"""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",Al Gore,barely-true
"June 4, 2017",tweet,"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,Donald Trump,false
"June 1, 2017",tweet,"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",Debbie Wasserman Schultz,true
"May 25, 2017",tweet,"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",Bernie Sanders,barely-true
"May 22, 2017",fake news website,"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",Uspoln Website,pants-fire
"May 28, 2017",news interview,"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",John Kelly,true
"May 26, 2017",tweet,"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",Donald Trump,false
"May 24, 2017",facebook,"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",James Lankford,false
"May 17, 2017",coast guard commencement speech,"""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""  ",Donald Trump,half-true
"May 18, 2017",morning joe,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",Maxine Waters,barely-true
"May 18, 2017",senate floor speech,"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",Charles Schumer,true
"May 15, 2017",No Platform,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",James Risch,mostly-true
"May 12, 2017",twitter,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",Chris Murphy,mostly-true
"May 9, 2017",press conference,"""What does Trumpcare do? Yank tax credits away from veterans unlike any other American.""",Richard Blumenthal,half-true
"May 11, 2017",economist,"The federal tax code includes ""deductions for birds flying across America.""",Donald Trump,true
"May 12, 2017",twitter,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",Donald Trump,barely-true
"May 11, 2017",nbc news,"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""  ",Donald Trump,pants-fire
"May 8, 2017",town hall meeting,"""If you’re getting your insurance through (your employer), nothing changes"" under Trumpcare.",Rod Blum,half-true
"April 28, 2017",york,"District attorneys ""have advertised that they will charge a criminal alien with a lesser offense than presumably they would charge a United States citizen, so they won’t be deported.""",Jeff Sessions,half-true
"May 4, 2017",cnn,"""Nobody on Medicaid"" will have their benefits taken away.",Kevin McCarthy,false
"May 5, 2017",town hall event,"""Nobody dies because they don’t have access to health care.""",Raul Labrador,pants-fire
"May 1, 2017",new book,"Says John Quincy Adams said, ""If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",Ivanka Trump,false
"May 4, 2017",blog headlines,"Under the House Republican health plan, sexual assault is a pre-existing condition.",Bloggers,barely-true
"April 30, 2017",twitter,"""Dems want billions to go to Insurance Companies to bail out donors""",Donald Trump,false
"May 4, 2017",No Platform,On voting for a health care bill without an up-to-date Congressional Budget Office score,Paul Ryan,full-flop
"May 2, 2017",who,"""40 percent of American households have female primary breadwinners.""",Ivanka Trump,mostly-true
"April 30, 2017",interview,"""General Flynn got his clearance from the Obama administration.""",Donald Trump,true
"April 28, 2017",un security council,"""China account(s) for 90 percent of North Korean trade.""",Rex Tillerson,true
"April 28, 2017",annual meeting,"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",Donald Trump,mostly-true
"April 27, 2017",tweet,"""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",Nancy Pelosi,mostly-true
"April 27, 2017",tweet,"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",Jeff Flake,mostly-true
"April 26, 2017",tweet,"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",Donald Trump,barely-true
"April 27, 2017 April 26",press conference,"Says President Donald Trump ""has given more financial disclosure than anybody else.""",Steve Mnuchin,false
"April 23, 2017",abc,"Treasury Department's inspector general found ""there's $4 billion a year in excess payments"" going to people that shouldn’t get them. ""These are mostly Mexicans.""  ",Jeff Sessions,half-true
"April 25, 2017",daily white house press,"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",Sean Spicer,mostly-true
"April 25, 2017",white house web page,"Says he created ""over 500,000 new jobs -- with a surge in female employment last month.""",Donald Trump,half-true
"April 26, 2017",tweet,"The Ninth Circuit has an overturned record ""close to 80%.""",Donald Trump,half-true
"April 25, 2017",tweet,"""Trump's Cabinet is more white and more male than any first Cabinet since President Ronald Reagan’s.""  ",Center for American Progress,mostly-true
"April 25, 2017",germany,"""The single-largest expense in  over half of American households is child care.""  ",Ivanka Trump,barely-true
"April 24, 2017",interview wth,"""Back when they did NATO, there was no such thing as terrorism.""",Donald Trump,barely-true
"April 21, 2017",interview,"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",Donald Trump,true
"April 18, 2017",wis.,"""No administration has accomplished more in the first 90 days.""",Donald Trump,false
"April 23, 2017",fox,"""They voted for (a border wall) in 2006. Then-Senator Obama voted for it. Sen. Schumer voted for it. Sen. Clinton voted for it.""",Mick Mulvaney,half-true
"April 20, 2017",tweet,"""Hate speech is not protected by the first amendment.""",Howard Dean,false
"April 13, 2017",interview,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",Jackie Speier,mostly-true
"April 18, 2017",msnbc,"""I have not called for impeachment"" of President Donald Trump.",Maxine Waters,pants-fire
"April 17, 2017",fox,"With North Korea, ""nobody has ever seen such a positive response on our behalf from China.""",Donald Trump,half-true
"April 16, 2017",istrumpatmaralago.org,"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",Center for American Progress Action Fund,half-true
"April 18, 2017",tweet,"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",Donald Trump,false
"April 16, 2017",cnn,"""When Trump won, we had the lowest voter turnout in 20 years.""",Bernie Sanders,false
"April 12, 2017",press conference,"On whether NATO is ""obsolete.""",Donald Trump,full-flop
"April 9, 2017",abc,"The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",Marco Rubio,false
"April 11, 2017",media comments,"Before the presidential campaign, ""I didn't know Steve (Bannon).""",Donald Trump,pants-fire
"March 30, 2017",press release,"""In 2014, Mexico alone received over $24 billion in remittances sent from the U.S., while other South and Central American countries received over 15 percent of their (gross domestic product) in the form of remittances.""",Mike Rogers,half-true
"April 11, 2017",No Platform,"Says Adolf Hitler ""didn't even sink to the level of using chemical weapons. ... He was not using the gas on his own people the same way that (Bashar al-)Assad is doing.""  ",Sean Spicer,pants-fire
"April 7, 2017",weekly address,"""Last month, we saw a 64 percent reduction in illegal immigration on our southern border.""",Donald Trump,half-true
"April 9, 2017",fox,"""We’ve seen more filibusters on judicial nominees by the Republicans under President Obama than we saw in the whole history of the United States Senate."" ",Ben Cardin,half-true
"April 4, 2017",cnn,"""It is unusual"" for a White House official like former National Security Adviser Susan Rice to make unmasking requests.",Tom Cotton,false
"April 4, 2017",ceos,"""I've won awards on environmental protection.""",Donald Trump,half-true
"March 31, 2017",bill maher,"""The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions. That's what she said. Go look it up.""",Rick Santorum,false
"April 4, 2017",town hall,"""There was a very large infrastructure bill that was approved during the Obama administration, a trillion dollars. Nobody ever saw anything being built.""",Donald Trump,barely-true
"April 4, 2017",town hall,"""When you look for a job, you can't find it and you give up. You are now considered statistically employed.""",Donald Trump,false
"March 28, 2017",subcommittee hearing,"""Apprehension rates at the southern border have plummeted since the 1980s, and apprehensions of Mexicans specifically have reached their lowest point in nearly half a century.""  ","John Conyers, Jr.",mostly-true
"March 28, 2017",tweet,"""215 members of Congress just voted to let your ISP spy on what type of underwear you buy and sell that data to advertisers."" ",Fight for the Future,mostly-true
"March 27, 2017",briefing,"""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""  ",Jeff Sessions,barely-true
"March 1, 2017",senate floor speech,"""In fact, if you add up the net wealth of his cabinet, it has more wealth than a third of the American people total -- close to 100 million people.""  ",Charles Schumer,mostly-true
"March 16, 2017",house floor,"""More than half of Planned Parenthood facilities are in rural or medically underserved areas.""  ",Carolyn Maloney,true
"March 20, 2017",kentucky,"""Since China joined — that’s another beauty — the WTO in 2001, the U.S. has lost many more than 60,000 factories.""",Donald Trump,mostly-true
"March 23, 2017",care,"""The vast majority of marketplace enrollees have experienced no average premium hike at all.""  ",Barack Obama,mostly-true
"March 19, 2017",fla.,"Says President Donald Trump’s proposal to allow Americans to buy health insurance across state lines would make it the same as ""the way you buy car insurance"" today.",Mike Pence,false
"March 20, 2017",briefing,"Says Paul Manafort ""played a very limited role"" in the Trump presidential campaign.",Sean Spicer,false
"March 16, 2017",press conference,"""In year No. 1, 14 million Americans lose coverage,"" according to the CBO. ",Chris Murphy,mostly-true
"March 20, 2017",kentucky,"""Since the day of my election, we've already cut illegal immigration at the southern border by 61 percent.""",Donald Trump,mostly-true
"March 8, 2017",committee hearing,"Wealthy foreigners can obtain visas through a special program, but only a small number ""invest in true high-unemployment areas. Almost every other EB-5 project uses gerrymandering to qualify as distressed.""",Patrick Leahy,mostly-true
"March 16, 2017",press conference,"""There's no demonstrable evidence they (after-school programs that feed kids) are helping kids do better at school.""  ",Mick Mulvaney,barely-true
"March 20, 2017",committee hearing,"""In recent years ... the Obama administration was committed to the notion, against all evidence, that we could reset relations with Putin.""",Devin Nunes,half-true
"March 20, 2017",tweet,"""The NSA and FBI tell Congress that Russia did not influence electoral process.""",Donald Trump,false
"March 18, 2017",twitter,"""Germany owes ... vast sums of money to NATO & the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!""",Donald Trump,false
"March 15, 2017",tucker carlson,"Says ""the New York Times wrote about"" Barack Obama wiretapping Donald Trump during the election. ",Donald Trump,false
"March 12, 2017",'s state,"""2009-2010, let's remember, hundreds of Republican amendments were adopted in the ACA.""",Luis Gutierrez,half-true
"March 13, 2017",press conference,"The House Republican health care ""plan doesn't get rid of Medicaid expansion.""",Mick Mulvaney,barely-true
"March 13, 2017",cabinet meeting,"""In the first full month of my administration following the issuance of my executive orders, illegal immigration on our southern border fell by an unprecedented 40 percent.""",Donald Trump,mostly-true
"February 24, 2017",cpac,"""According to the FBI, Mexican drug cartels are working with 100,000 street gang members in Chicago alone.""",Wayne LaPierre,half-true
"March 13, 2017",health care,"""One-third of the counties — think of it, one-third — only have one insurer left"" on the Affordable Care Act exchanges.",Donald Trump,true
"March 12, 2017",interview,"""The number of individuals who actually got coverage through the exchange who didn't have coverage before, or who weren't eligible for Medicaid before is relatively small. So we've turned things upside down completely for 3 million, or 4 million, or 5 million individuals.""",Tom Price,false
"March 12, 2017",abc,"""If the CBO was right about Obamacare to begin with, there'd be 8 million more people on Obamacare today than there actually are. … Sometimes we ask them to do stuff that they're not capable of doing.""",Mick Mulvaney,half-true
"March 7, 2017",briefing,"The Obama administration said ""they were going to be able to drive folks away from one of the most expensive areas for the provision of health care, and that is the emergency rooms. In fact, they did just the opposite.""",Tom Price,mostly-true
"March 9, 2017",cnbc,"Carbon dioxide is not ""a primary contributor to the global warming that we see.""",Scott Pruitt,false
"March 8, 2017",chis hayes,"The GOP health care plan gives ""$275 billion in tax breaks for the top 2 percent, people earning $250,000 a year or more.""  ",Bernie Sanders,mostly-true
