reviewer_name,review date,review text,review_polarity
Linda and Al Lerner,"Sep 3, 2020","Like the palindrome title of the movie, it goes back & forth the same way. You might want to wait until Tenet is streaming so you can play it forward & in reverse to figure out what Nolan was really going for. And you'll be able to control the volume.",rotten
Michael Smith,"Sep 3, 2020","Nolan's new movie is ""Tenet,"" and it is a big, brassy, brainy spectacle.",fresh
Kristian M. Lin,"Sep 3, 2020",It would be better if Tenet gave us more to feel. That would make it easier to absorb all the confusion that this thriller sows.,rotten
Austin Burke,"Sep 3, 2020","There is a moment when everything begins to click, and you slowly realize what this movie is... It feels like Nolan's version of Bond.",fresh
Mark Dujsik,"Sep 3, 2020","Tenet, Nolan's latest, is very much about time -- and very little about much else.",rotten
José Amador Pérez Andújar,"Sep 3, 2020",A complex but also fascinating experience. [Full review in Spanish],fresh
Dwight Brown,"Sep 3, 2020",John David Washington has crossed a bridge. He's no longer just the son of a superstar actor. He is a superstar actor.,fresh
Oluwatayo Adewole,"Sep 3, 2020","When you ignore what Nolan wants you to pay attention to (how smart he is) and just let the dynamism and endless cool wash over you, it's a thrilling experience.",fresh
Kelechi Ehenulo,"Sep 3, 2020","TENET falters to crystallise all its sophisticated and complex mechanics, but as an enthralling piece of cinema where imagination meets scale and ambition, it is the epitome of Nolan at his best.",fresh
Josh Larsen,"Sep 3, 2020",Tenet can very likely be explained. I'm not sure it can be experienced.,rotten
Alan Zilberman,"Sep 3, 2020","Pesky things like narrative and character development only get in Nolan's way, to the point where I cannot help but feel his next film should abandon storytelling altogether.",rotten
Brian Truitt,"Sep 3, 2020",Both utterly dazzling and increasingly bewildering.,fresh
Lee McCoy,"Sep 3, 2020","It doesn't have the heart of Inception, but Nolan is so far ahead of everyone that he's going in reverse. The action is not only jawdropping, but thought-provoking, like you're deciphering the fight as it's happening.",fresh
Preston Barta,"Sep 3, 2020",Another cerebral puzzle of epic proportions from Christopher Nolan. Your mind will run a marathon as your eyes will drink in images never before seen from its pulse-pounding opening to its explosive conclusion.,fresh
Todd Jorgenson,"Sep 3, 2020","Even if it ultimately emphasizes spectacle over substance, the film shows that cinematic time travel can be high-minded without losing its cool.",fresh
Daniel Neman,"Sep 3, 2020","Maybe you could follow what is happening if you wrote it all down on a flow chart with circles and arrows and multiple colored inks, but it wouldn't be worth the effort - and that's hard to do in a dark movie theater.",rotten
Jorge Loser,"Sep 2, 2020",A cacophony of a blockbuster with flashes of wit that stumbles on its bombastic stretches. [Full Review in Spanish],rotten
Brian Orndorf,"Sep 2, 2020","Rather ho-hum, finding Nolan repeating himself to remain in his comfortable, profitable filmmaking bubble, once again issuing a brain-bleeder that only he understands in full.",rotten
Allen Adams,"Sep 2, 2020","[W]hile it may not have quite the philosophical heft of some of his other work, it is provocative and evocative in its own right. As with so many of Nolan's films, what you take from it is directly proportional to what you put in.",fresh
Dana Barbuto,"Sep 2, 2020","Posey's character, a scientist, says early on, ""don't try to understand it, feel it."" That's good advice.",fresh
Roxana Hadadi,"Sep 2, 2020","These amazing set pieces, while respectable for their reliance on practical effects and impressive for Nolan's commitment to his craft, often feel divorced from the rest of Tenet.",rotten
David Sims,"Sep 2, 2020",Nolan has finally zoomed out so far with a story that fundamentals of physics have themselves become character motivations.,fresh
Nick Johnston,"Sep 2, 2020",Tenet is the kind of thrilling blockbuster that we so desperately need in any summer.,fresh
Ryan Gilbey,"Sep 2, 2020","The more everyone explains the plot, the more needlessly complicated it becomes. The ""grandfather paradox"" is mentioned, but Back to the Future and The Terminator handled the same idea with less heavy lifting.",rotten
Jim Judy,"Sep 2, 2020","Big, loud, muscular, and teaming with abundant testosterone, which actually works to its advantage as it's essentially a James Bond flick as filtered through science fiction. (Full Content Review for Parents - Violence, Profanity, etc. - Available)",fresh
Kyle Smith,"Sep 2, 2020","Nolan's latest gargantuan effort to blow your mind may duly blow your mind, or it may simply bruise it, but at least it's a whole lot of movie, and to that I say bravo.",fresh
Walter Chaw,"Sep 2, 2020",I liked Tenet.,fresh
Richard Lawson,"Sep 2, 2020",I didn't want to dive further into Tenet's logical knot - I wanted to swat it away.,rotten
Sharronda Williams,"Sep 2, 2020",Nolan delivers another mind-blowing concept with stunning visuals and breathtaking action sequences.,fresh
Aaron Peterson,"Sep 2, 2020",Christopher Nolan's mission to save cinema mostly succeeds with a convoluted yet thrilling experience designed to be witnessed in movie theaters.,fresh
Emmanuel Noisette,"Sep 2, 2020",Tenet is an amazingly ambitious and heart-pounding action thriller that misses the mark by being too smart for its own good. It's still a fun ride worth the watch in theaters.,fresh
Julian Roman,"Sep 2, 2020",Slick action scenes and visual effects can't save the tediously complex Tenet.,rotten
Sarah Gopaul,"Sep 2, 2020","Nolan never fails to deliver on the big screen experience and, in spite of some atypical predictability, this is a thrilling watch from beginning to end.",fresh
Hannah Lodge,"Sep 2, 2020",Tenet is the most ambitious and alienating film Nolan's ever made.,fresh
Jeff York,"Sep 2, 2020","The film has some great set-pieces, a game cast, and a compelling premise, but the parts are better than the sum.",rotten
Robert Kojder,"Sep 1, 2020","In the end, Tenet is mostly understood but rarely felt; it's one of Nolan's worst. The upside is that even his lower-tier works provide one hell of a spectacle",fresh
Peter Sobczynski,"Sep 1, 2020",An undeniably ambitious but dramatically confused story which feels as if it is going out of its way to come across as the most deliberately obtuse and impossible-to-follow Bond film ever made.,rotten
Sean P. Means,"Sep 1, 2020","A maze-like action thriller that's exciting in the moment, even if it's gratuitously complicated.",fresh
Matt Oakes,"Sep 1, 2020","The overdone complications, playful timelines and filmmaking tricks are icing on the cake; moviemaking confection...'Tenet' is all icing, no cake.",rotten
Jonathan W. Hickman,"Sep 1, 2020","""Tenet"" is a magic trick on a loop, and it might leave you with a gnawing headache.",rotten
Jake Coyle,"Sep 1, 2020","""Tenet"" lacks the elegant mastery of ""Dunkirk"" or the cosmic soulfulness of ""Interstellar,"" but it has a darkly grand geometry.",fresh
Matt Singer,"Sep 1, 2020","Even at its most bewildering, the raw imagination and distinctive imagery on display are always thrilling.",fresh
Scott Mendelson,"Sep 1, 2020","Gorgeous visuals and game performances can't compensate for generic action, thin characters and a needlessly convoluted plot. Oh, and it would be nice if we could hear all of that exposition...",rotten
Nate Adams,"Sep 1, 2020","The plot can become tireless and exhausting, but this is Christopher Nolan firing on all cylinders, and ""Tenet"" is an audicious time-bending thriller that literally makes you question reality and space. You won't believe your eyes.",fresh
Nell Minow,"Sep 1, 2020","The storyline is mind-bendingly intricate, with thought-provoking fantasy and juicy twists. But the characters are never more than one-dimensional.",fresh
Johnny Oleksinski,"Sep 1, 2020",What the hell was that?,rotten
CJ Sheu,"Sep 1, 2020",His stunts feel realer than his stakes.,rotten
Rachel Wagner,"Sep 1, 2020","It goes to show all the splashy action in the world does not get you anywhere, for this critic at least, if the characters aren't engaging and the story isn't interesting",rotten
Dan Murrell,"Sep 1, 2020",Impressively constructed [but] Christopher Nolan's obsession with manipulation of time is starting to become something for an audience of one.,fresh
Mike Massie,"Sep 1, 2020","Fans of Nolan's films will enjoy rewatching this until they pick up on a few of the revelations, while everyone else will walk away mystified and only marginally entertained.",fresh
Edward Douglas,"Sep 1, 2020","Knowing how hard Nolan is trying to recreate what was so cool and exciting about Inception, but not really succeeding, makes Tenet a disappointment at best.",rotten
Kyle Pinion,"Aug 31, 2020",It's as if you're trying to solve a math problem while cars crash around you and there's a variable you're constantly missing.,rotten
Matt Looker,"Aug 31, 2020",Nolan doesn't seem to care too much about leaving his viewers confused. The question is whether a confused audience can still be an entertained audience.,fresh
Hope Madden,"Aug 31, 2020","Past and present collide in some of the most interesting, tense and downright fun action sequences Nolan's ever put together.",fresh
Matthew Toomey,"Aug 31, 2020","It's bitten off more than it can chew but with the positives balancing out the negatives, Tenet deserves a look.",fresh
Travis Hopson,"Aug 30, 2020","When it's all said and done, chances are you'll be obsessing over what you don't understand about Tenet , rather than what you enjoyed.",fresh
Ronak Kotecha,"Aug 30, 2020","The secret to enjoy 'Tenet' lies in what a scientist, who is explaining inversion tells the Protagonist, ""Don't try to understand, feel it.""",fresh
Laura Clifford,"Aug 29, 2020","""Tenet"" is a sleek, mysterious clockwork which, like its title, flips in its middle and doubles back on itself, exposing its inner machinations. As The Protagonist, John David Washington imbues the director's chilly aesthetic with humanizing warmth.",fresh
Ed Whitfield,"Aug 29, 2020","If big entertainments want to be respected as intelligent entertainments, they must communicate with audiences clearly, not flit between the abstract and pretentious.",fresh
Hanna B,"Aug 29, 2020","In the end, hate it or love it, this is a movie to be seen by all and at least once.",fresh
Andiee Paviour,"Aug 29, 2020","Director Christopher Nolan the showman is in his element with this mammoth head-scratcher, rolling out stunts, trappings and confrontations.",fresh
James Berardinelli,"Aug 29, 2020",It's among the director's most ambitious efforts and is a match for his most narratively complicated screenplays.,fresh
David 'Mad Dog' Bradley,"Aug 29, 2020","A flick you'll want, however desperately, to like more than you actually do, this is surely the most Nolan-esque Nolan offering of them all...is this really the movie that's going to save the industry from COVID-induced oblivion?",rotten
Chris Stuckmann,"Aug 29, 2020",It's another intriguing and fascinating film from one of our most daring filmmakers working within the mainstream system.,fresh
Peter Travers,"Aug 28, 2020","Pure, ravishing cinema from Nolan who offers a dizzying, delirious ride for lockdown audiences yearning to gather before the biggest screen possible in a union of hearts and minds. There's a killer plague betting against him. It's your call.",fresh
Anne Brodie,"Aug 28, 2020","It is too dense and incomprehensible. But wow, the lead performances are perfection.",fresh
Ryan Silberstein,"Aug 28, 2020",Everything happening in the film is cued up visually. This is a film built for full attention no matter where (or when) you watch it.,fresh
Robbie Collin,"Aug 28, 2020","This is a film that will cause many to throw up their hands in bamboozlement - and many more, I hope, to clasp theirs in awe and delight.",fresh
Sarah Cartland,"Aug 28, 2020","Gloriously mind-bending bunkum, done with such conviction you really will believe your eyes.",fresh
Sam Adams,"Aug 28, 2020","Tenet's gears turn smoothly, but it's like a factory with no raw material to process.",rotten
Sean O'Connell,"Aug 28, 2020","A hold-on-by-your-fingernails thrill ride with subtle touches of wit, romance, suspense, tragedy, determination and cinema-driven awe woven throughout it.",fresh
Ian Schultz,"Aug 27, 2020","Nolan has made better films, but Tenet is a culmination of his distinctive filmmaking, so it's hard not to be impressed.",fresh
Stuart McGurk,"Aug 27, 2020",Tenet is by no means a disaster -- it's a solid three-starrer... Nolan's film have always demanded the largest canvas -- but safe to say this is one time reversal film you probably won't immediately want to watch again.,fresh
Jason Di Rosso,"Aug 27, 2020","Tenet is clearly attempting some kind of emotional payoff that remains out of reach. By the end, the idea of swimming against the current feels like a metaphor for the film itself.",rotten
George M. Thomas,"Aug 27, 2020","It's alternately compelling and mind blowing, while potentially being mind numbing when trying to keep up with its time shifting machinations and plot density.",fresh
Mark Daniell,"Aug 27, 2020","What unspools across the screen for nearly two-and-a-half hours is one scene topping another that leaves viewers thinking, ""How did they do that?""",fresh
Rachael Harper,"Aug 27, 2020","A dazzling, confusing spectacle.",fresh
Marwa Hamad,"Aug 27, 2020","It's exhilarating, mind-bending and the score is to die for.",fresh
Tina Hassannia,"Aug 27, 2020","Viewers won't be able to fully understand Tenet's dialogue, and they're likely to have the same problem in trying to understand its convoluted plot. But there isn't much there to feel, either.",rotten
Jeanmarie Tan,"Aug 27, 2020","So yes, the whos, whats, whys, wheres, whens and hows will assault you non-stop until you give up and go with the flow. Unfortunately, there is nothing to feel.",rotten
Tom Duggins,"Aug 27, 2020",Tenet is a bit like the myth whereby NASA spent millions of dollars on a pen that could work in zero gravity when the Soviets just used a pencil. Nolan should re-learn how to use a pencil.,rotten
Ben Flanagan,"Aug 27, 2020","Every time that Tenet stops to speak, it only emphasizes a hollowness within: how enamored it is of its own cleverness.",rotten
Matthew Turner,"Aug 27, 2020","[Costume Designer] Jeffrey Kurland is surely a shoo-in for an Oscar nomination - either way, he won't want for future job opportunities.",fresh
John Lui,"Aug 27, 2020","This one has it all: a brand-name film-maker in Christopher Nolan, big names in the cast and, most importantly, big action.",fresh
Jason Best,"Aug 27, 2020","But there remains a sense that Nolan has got his cinematic mission back to front. Yes, he's giving us a cerebral workout, yet we could also do with more visceral thrills and romance, and a bigger sense of fun.",rotten
Michael Phillips,"Aug 27, 2020","I wish ""Tenet"" exploited its own ideas more dynamically. Nolan's a prodigious talent. But no major director, I suppose, can avoid going sideways from time to time.",rotten
Roger Moore,"Aug 27, 2020",A bang-on Bond film buddy picture set in Bizarro World.,fresh
Rebecca Harrison,"Aug 27, 2020","Tenet is a complex and yet deceptively simple film that has the capacity to leave you loving and loathing it at the same time. As it is so hellbent on telling us: yes, we can have it both ways.",fresh
Ben Rolph,"Aug 27, 2020",Christopher Nolan will render you speechless and shivering in endless exhilaration.,fresh
Brandon Davis,"Aug 27, 2020","Tenet is truly a marvel, especially when seen on the biggest screen possible with a sound system to rock the floor beneath your feet. The film offers a story and overall experience which will still satisfy those who cannot get to a movie theater.",fresh
Javier Ocaña,"Aug 27, 2020",There is no emotional root to concern yourself with beyond the visual force of the images. [Full Reviews in Spanish],rotten
CJ Johnson,"Aug 27, 2020",May be the loudest movie I've ever seen.,fresh
Jordan Ruimy,"Aug 27, 2020","If ""Tenet"" can be a hard movie to fully get invested in emotionally, or even comprehend it for that matter, the craftsmanship is second to none.",rotten
Richard Roeper,"Aug 27, 2020","Working from his own labyrinthine screenplay, Nolan (along with cinematographer Hoyte van Hoytema and the special effects crew) has great fun with elaborate set pieces...",fresh
Kevin N. Laforest,"Aug 27, 2020",It's an epic film both for its thrilling set-pieces and its complex concepts. [Full review in French],fresh
Joseph Walsh,"Aug 26, 2020","Beneath the highly polished spy-thriller aesthetic lies a head-spinning, temporally warped plot, laced with concepts and conceits that will delight and baffle in equal measures.",fresh
Robert Daniels,"Aug 26, 2020","Sprawling and ambitious, flawed yet admirable, failure and success concurrently reside in every minute of Tenet. A technical feat but a narrative dud.",fresh
Alistair Harkness,"Aug 26, 2020","[W]hat's surprising about the film is how attuned to the current moment it sometimes feels, not just in its futuristic prognostications, but in its grimly ironic thematic obsession with humanity's unwillingness to prepare for a future it can see coming.",fresh
Roe McDermott,"Aug 26, 2020","The performances are all excellent, with Debicki elevating Nolan's rote depiction of abusive relationships and motherhood, and Pattinson providing louche charm galore, while Washington is an endlessly compelling presence...",fresh
Jennifer Heaton,"Aug 26, 2020","Tenet is a unique and often stunning film about the nature of time and fate, but it's ultimately a little too smart for its own good.",fresh
Brian Tallerico,"Aug 26, 2020","It is 100% designed as an experience for people who have unpacked films like The Prestige and Memento late into the night, hoping to give Nolan fans more to chew on than ever before.",fresh
Caspar Salmon,"Aug 26, 2020","""Tenet"" is, as breathless as it can feel in its best bits, ultimately, no more and no less than a consummately arranged film about a group of people who arrive, get the job done with enormous skill and at great expense, and leave.",fresh
Amber Wilkinson,"Aug 26, 2020","whether you ultimately like the end result or not, you'll definitely feel something, even if it's only the booming bass of Richard King's sound design and Ludwig Göransson's score rattling your seat at key moments.",fresh
Andrea G. Bermejo,"Aug 26, 2020","Tenet's first hour is as elegant as its director, always in a suit. [Full review in Spanish]",fresh
Alex Hudson,"Aug 26, 2020",Nolan's latest contribution to the canon of first-year dorm posters was made for stoned teens who want to get their mind blown by trippy fight sequences and unsolvable paradoxes about time travel.,fresh
Chris Knight,"Aug 26, 2020","You could take the advice Poésy's character gives... ""Don't try to understand it. Feel it.""",fresh
Chris Bumbray,"Aug 26, 2020","Incredibly ambitious and inventive, Tenet is a film that demands repeat viewings. To boil it down - imagine a super cerebral version of a James Bond movie - but backwards.",fresh
Andrew Parker,"Aug 26, 2020","It's not the best Nolan film by a longshot, but it's certainly the most Nolan film, and there's certainly a curious charm to that.",fresh
Nicola Austin,"Aug 25, 2020","The most audacious Nolan film to date; Tenet is pure cinematic spectacle. The score, mind-bending concept & utterly immersive action make for a truly unique experience,",fresh
Luis Martínez,"Aug 25, 2020",Christopher Nolan turns the spy thriller into a disproportionate palindromic spectacle that recovers the pleasure of perplexity in cinema. [Full Review in Spanish],fresh
Manu Yáñez,"Aug 25, 2020","On the surface, the strokes in Tenet may seem simple, but they have grand effects especially as far as its cinematography is concerned. [Full Review in Spanish]",fresh
Christina Newland,"Aug 25, 2020",Tenet is a locked puzzle box with nothing inside.,rotten
David Stratton,"Aug 25, 2020",Maybe it will take repeated viewings to fully appreciate Nolan's achievement here; certainly he deserves praise for his attempts to reinvent a pretty tired genre.,fresh
Alison Rowat,"Aug 25, 2020","This is Nolan on typically spectacular form... All terrific, but then we come to the story. A riddle wrapped in a mystery inside an enigma is just the start of it.",fresh
Robert Salusbury,"Aug 25, 2020","In its finest moments, Tenet is like Pattinson's hair: slick and immaculate. But messy plotting and deliberately confused dialogue drive the film frustratingly off-course time and time again, leaving us with Nolan's patchiest work to date.",fresh
Peter Bradshaw,"Aug 25, 2020","A deadpan jeu d'esprit, a cerebral cadenza, a deadpan flourish of crazy implausibility - but supercharged with steroidal energy and imagination.",fresh
Nicholas Fonseca,"Aug 25, 2020","Tenet cuts both ways, welcoming us into Nolan's time-bending world of wonder while also practically daring us to come out the other end without a headache.",fresh
Jim Slotek,"Aug 25, 2020",Nolan has taken a trope that has sent many a movie down a rabbit hole - time travel - and found a way to make it even more confounding.,fresh
Amon Warmann,"Aug 25, 2020","It's peak Nolan, in a good way, and even if some characters are not as fleshed out, his cast convincingly sells the impact of what's happening at any given moment.",fresh
Zehra Phelan,"Aug 25, 2020","Christopher Nolan's mind-bending melting pot of confusion is a visually epic phenomena, but its vagueness and headache-inducing storyline leave a sour taste.",rotten
George Simpson,"Aug 25, 2020","Tenet's twists and thoughtful complexities will have the most-devoted Nolan fans heading back to the cinema for a rewatch, to catch whatever they missed the first time around.",fresh
Michael Bond,"Aug 25, 2020","While my brain wrestled with 'temporal pincer movements' and a double helping of high-speed car-chases, what keeps you going is Nolan's obvious sincerity, his love of real cinematic spectacle and his tremendous talent for staging it.",fresh
Kate Muir,"Aug 25, 2020",Christopher Nolan's spy thriller Tenet is a mind-boggling and time-bending spectacle.,fresh
Alex Lines,"Aug 25, 2020","Tenet is not a complete disaster, nor is it the messianic blockbuster that will help pull cinemas out of the rubble this year.",fresh
Peter Howell,"Aug 25, 2020",Christopher Nolan's most challenging film - and also his most satisfying.,fresh
Will Gompertz,"Aug 25, 2020","It won't leave you shaken, but your mind will be stirred. And that has to be worth a trip to the cinema.",fresh
Víctor López G.,"Aug 24, 2020","An incredible time at the movies for which - and this may sound like an exaggeration, but from my own experience it is not - not all brains are prepared... [Full Review in Spanish]",fresh
Alejandro G. Calvo,"Aug 24, 2020","Tenet is a crazy, revolutionary, extraordinary and chilling maze where Christopher Nolan seems to have reached the limit. [Full Review in Spanish]",fresh
Graeme Tuckett,"Aug 24, 2020","Tenet is a massively conceived and structured film, but it lacks a heart.",rotten
Vicky Roach,"Aug 24, 2020",Christopher Nolan has pulled out all the stops for Tenet.,fresh
Hanna Flint,"Aug 24, 2020","Luckily, for what Tenet lacks in narrative comprehension, it more than makes up for in action--a cinematic language with which Nolan has become increasingly fluent.",fresh
Mark Goodyear,"Aug 24, 2020",Tenet is Nolan's ultimate puzzle. Those with the constitution to unwaveringly pay attention to its secrets will be rewarded with an epic tale found somewhere beyond time. Those without may just have to get by on the visual achievements alone,fresh
Tom Shone,"Aug 24, 2020","In short, Tenet isn't any old Christopher Nolan movie. It's a Christopher Nolan movie squared - Nolan to the power of Nolan.",fresh
Simran Hans,"Aug 23, 2020","Nolan seems to be... encouraging the audience to trust the film's beats and to feel its impact on a gut level. As a strategy of film-making, it's a supremely confident one and in parts Nolan pulls it off.",fresh
Emma Simmonds,"Aug 22, 2020","Although shaky in its communication of the science, it more than makes up for it in ambition and stupendous action.",fresh
Doug Jamieson,"Aug 22, 2020","It's easy to be dazzled by its visual feats, but it's hard to truly enjoy a film that leaves its audience feeling entirely befuddled and exhausted by everything they've just experienced.",fresh
Chris Hunneysett,"Aug 22, 2020","bold, epic and ingenious",fresh
Tero Heikkinen,"Aug 22, 2020","Washington in the lead is perfect and as we already saw in Spike Lee's BlacKkKlansman, he can carry a film on his shoulders. In Tenet this is even more evident.",fresh
Andrew F. Peirce,"Aug 22, 2020","Tenet instead feels like it's pushing you away from engaging with its deeper plot, rather than inviting you in to engage with it intimately.",rotten
Anthony O'Connor,"Aug 22, 2020","Overlong, noisy, full of poe-faced delivery of portentous dialogue, needlessly convoluted plot threads, unearned sense of gravitas that verges on the unintentionally hilarious and a script that isn't even vaguely as clever as it seems to think it is",rotten
Wenlei Ma,"Aug 22, 2020","If Tenet had paid as much attention to its writing and character work as it did to its visual and conceptual ambitions, it could have been a masterpiece instead of merely great. But it's still great.",fresh
Philip De Semlyen,"Aug 21, 2020","After five months stuck in front of the small screen, maybe being a little overwhelmed is no bad thing. But it's hard to escape the sense that less might have been more.",rotten
Peter Gray,"Aug 21, 2020","It's breathtaking at times, and frustrating at others, but even with all its near-detrimental ambition it's a film that is at least trying to break a familiar mould.",fresh
Jamie East,"Aug 21, 2020","It's a tense, bewildering assault on the senses. It was never going to live up to all the expectations - but despite the frayed plot and bad script, this is still a film you need to see.",fresh
Alan Corr,"Aug 21, 2020",It's a high concept thriller which never fails to take itself with deadly seriousness but Tenet fails to live up to the intriguing set-up in the first act and doesn't quite convince the viewer of its internal logic...,rotten
Sandra Hall,"Aug 21, 2020","No doubt avid students of the Nolan formula will get months of entertainment out of repeated viewings, but for me it was oddly tantalizing -- full of good things but ultimately frustrating.",fresh
Emily Zemler,"Aug 21, 2020","Nolan is the sort of filmmaker who captures our imaginations for what could be possible, which is something that feels important right now.",fresh
Tom Beasley,"Aug 21, 2020","If a headache can ever be pleasurable, it's when watching Tenet.",fresh
Danny Leigh,"Aug 21, 2020","Great movies always time travel - living with you beyond the closing credits, carried into the future. With Tenet, 150 minutes pass harmlessly, but the film left my head before I took off my face mask.",fresh
Adam Woodward,"Aug 21, 2020","If Nolan has out-Nolaned himself, it's in the action set-pieces which, despite being of head-scrambling technical intricacy, are sharper than Occam's razor and carried off with astonishing economy.",fresh
Scott Davis,"Aug 21, 2020",Nolan is an artist extraordinaire.,fresh
Rosie Fletcher,"Aug 21, 2020","The most important film of the year is a heavy weight to carry, and Tenet for the most part pulls it off. This may not be a perfect film but it could just be perfect cinema.",fresh
Leslie Felperin,"Aug 21, 2020","Altogether, it makes for a chilly, cerebral film - easy to admire, especially since it's so rich in audacity and originality, but almost impossible to love, lacking as it is in a certain humanity.",rotten
Charlotte O'Sullivan,"Aug 21, 2020","To point out that Tenet has flaws feels ungrateful. It's like slagging off Santa. But, I confess, some of the yick yacking - vis a vis physics, metaphysics and so on - made me sleepy... Those quibbles aside, Tenet is an eye-popping, ground-breaking blast.",fresh
Barry Hertz,"Aug 21, 2020","We're never meant to know what exactly is going on at any one moment, but we will be - we must be - entertained by the overwhelming nonsense of it all.",fresh
Kevin Maher,"Aug 21, 2020","The real joy of the film, nonetheless, is the sheer spectacle.",fresh
Radheyan Simonpillai,"Aug 21, 2020",The movie is a race against a clock that defies everything we know about time. Massively scaled sequences have time moving forward and backwards and zigzagging all at once. The action exceeds anything Nolan has ever done before.,fresh
Linda Marric,"Aug 21, 2020","Revisiting ideas he had already broached in his brilliantly underrated space saga Interstellar, Nolan is back again to his favourite subject, Time. The results are, unsurprisingly, phenomenal.",fresh
Jessica Kiang,"Aug 21, 2020","Seek it out, if only to marvel at the entertainingly inane glory of what we once had and are in danger of never having again.",fresh
Matt Purslow,"Aug 21, 2020","Tenet feels a little conservative, as if Nolan's style is a franchise rather than a framework. Despite this, it remains more interesting than most other tentpole movies and acts as a beacon for the director's strengths.",fresh
Fionnuala Halligan,"Aug 21, 2020","It's a dream ride... for the most part, for anyone looking for glitzy escapism, and who wouldn't include themselves in that demographic right now.",fresh
Jonathan Romney,"Aug 21, 2020","Nolan's latest may well be full of sound and fury, signifying nothing, or it may signify something imponderably resonant, and signify it forward, backward and inside out. Does your head hurt yet?",fresh
Shannon Connellan,"Aug 21, 2020","It's the kind of film worthy of heralding a triumphant, unashamedly explosive return to cinemas, whenever that happens.",fresh
Andy Lea,"Aug 21, 2020","Bamboozling, bold, wildly spectacular - this could be the perfect curtain-raiser for this year's delayed blockbuster season.",fresh
Catherine Shoard,"Aug 21, 2020",The world is more than ready for a fabulous blockbuster... It's a real shame Tenet isn't it.,rotten
Mike McCahill,"Aug 21, 2020","What's really there to untangle, beyond loops of string and a whole lot of smoke rings?",rotten
Brian Lloyd,"Aug 21, 2020","When you come right down to it, 'Tenet' is a mess. A gloriously shot, exquisitely staged mess with a thrilling final act - but still a mess.",rotten
Simon Miraudo,"Aug 21, 2020","For those who don't want to engage with Nolan's academic exercises, just tune out and revel in its baser pleasures: thrilling spy set pieces and charismatic leads. The other stuff? Ain't nobody got time for that.",fresh
Nicholas Barber,"Aug 21, 2020","In the end, ""Tenet"" isn't one of Nolan's most satisfying films. But after I've seen it four or five more times, maybe I'll change my mind.",fresh
James Mottram,"Aug 21, 2020","Happily, Tenet exceeds our already sky-high expectations.",fresh
Clarisse Loughrey,"Aug 21, 2020",Tenet is a thrilling place to get lost in.,fresh
Jordan Farley,"Aug 21, 2020","The stakes have never been higher, but Tenet is exactly the film cinemas need right now.",fresh
Donald Clarke,"Aug 21, 2020","Even if we were brave enough to try, we would not be capable of spoiling a plot so wilfully obtuse it demands repeat viewings to disentangle.",fresh
Laura Potier,"Aug 21, 2020","Tenet is technically excellent and challenging, pushing boundaries and subverting expectations with the director's usual elegance.",fresh
Guy Lodge,"Aug 21, 2020","A concrete cornucopia of global chaos and threat, in which humanity's survival depends on the minor matter of reshaping time and space, ""Tenet"" looks well suited to an anxious age.",fresh
Alex Godfrey,"Aug 21, 2020","By the time it's done, you might not know what the hell's gone on, but it is exciting nevertheless. It is ferociously entertaining.",fresh
Casey Chong,"Aug 21, 2020","For all the technical achievements and Christopher Nolan's potentially captivating time-inversion concept, ""Tenet"" lacks the heart and soul to qualify as among the best movies in his illustrious filmography.",rotten
Ian Sandwell,"Aug 21, 2020","An original and mind-bending take on a spy movie... Solely in terms of technical aspects, it's an incredible feat of filmmaking.",fresh
Jason Gorber,"Aug 21, 2020","Say what you will about the tenets of TENET, at least it has an ethos.",fresh
